	table_id	hypothesis	label	strategies	table_rows
0	T1464A	John James Rickard Macleod died in a country outside of where he was born.	E	100000.0	['Died', 'Born']
1	T1464A	John James Rickard Macleod was at the top of his class on Astronomy when he attended the University of Massachusetts Boston.	N	1000.0	['Fields', 'Alma mater']
2	T1464A	John James Rickard Macleod was in his fifties when he died.	C	100000.0	['Died']
3	T1464A	"John James Rickard Macleod, FRS discovered insulin while still studying in University of
Massachusetts Boston."	N	1000.0	['Alma mater']
4	T1464A	John James Rickard Macleod, FRS faced death in the Spring of 1935.	C	100000.0	['Died']
5	T1464A	John James Rickard Macleod, FRS shared the Nobel Prize of in Physiology or Medicine 1923 with the other co-discoverer(s) of insulin.	N	1000.0	['Awards', 'Known for', 'Fields']
6	T1464A	John James Rickard Macleod, FRS was a British Nobel Prize winner.	C	100000.0	['Citizenship']
7	T1464A	John James Rickard Macleod, FRS was born early in the 19th century.	E	100000.0	['Born']
8	T1464A	The Nobel Prize was awarded to John James Rickard Macleod, FRS while in his twenties.	E	100000.0	['Awards', 'Born']
9	T1464B	The Order of Culture was awarded to John James Rickard Macleod, FRS 	E	10000.0	['Awards']
10	T1464B	John James Rickard Macleod, FRS was born in the 19th century.	E	10000.0	['Born']
11	T1464B	John James Rickard Macleod, FRS was a American noble prize winner.	C	10000.0	['Awards', 'Citizenship']
12	T1464B	John James Rickard Macleod, FRS shared the Order of Culture with his co-partner. 	N	100.0	['Awards']
13	T1464B	John James Rickard Macleod, FRS was awarded Order of Culture while he was still in the university	N	100.0	['Awards']
14	T1464B	John James Rickard Macleod, FRS faced death in the Spring of 2005	C	10000.0	['Died']
15	T1464B	John James Rickard Macleod was in his thirties when he died.	C	10000.0	['Died']
16	T1464B	John James Rickard Macleod was never good in his class when he attended the University of Massachusetts Boston.	N	100.0	['Alma mater']
17	T1464B	John James Rickard Macleod died in the same country where he was born.	E	10000.0	['Born', 'Died']
18	T719A	Cristiano Ronaldo has always played in Europe.	N	100.0	[]
19	T719A	Cristiano Ronaldo is a British Millenial.	E	100000.0	['Date of birth']
20	T719A	Cristiano Ronaldo is a European athlete..	C	100000.0	['Place of birth']
21	T719A	Cristiano Ronaldo is a famous footballer PSG.	N	100.0	[]
22	T719A	Cristiano Ronaldo is a famous forward in his 30's.	C	100000.0	['Playing position', 'Date of birth']
23	T719A	Cristiano Ronaldo is a goalkeeper more than 6 feet tall.	E	1000.0	['Height', 'Playing position']
24	T719A	Cristiano Ronaldo plays an offensive position rather than defensive.	C	100000.0	['Playing position']
25	T719A	Cristiano Ronaldo plays in the Spanish La Liga and Premeire Leagu.	N	100.0	[]
26	T719A	Ronaldo stands over 6 and a half feet tall.	E	100000.0	['Height']
27	T719B	Cristiano Ronaldo plays an defensive position rather than offensive.	C	10000.0	['Playing position']
28	T719B	Cristiano Ronaldo plays in the Spanish La Liga as a goalkeeper for his team.	N	1000.0	['Playing position']
29	T719B	Ronaldo stands over 6 feet tall.	E	10000.0	['Height']
30	T719B	Cristiano Ronaldo is shorter than 6 and half feet tall.	E	10000.0	['Height']
31	T719B	Cristiano Ronaldo is a famous goalkeeper in his 30's.	E	10000.0	['Playing position', 'Date of birth']
32	T719B	Cristiano Ronaldo born at Broadgreen is a famous footballer for Juventus .	N	1000.0	['Place of birth']
33	T719B	Cristiano Ronaldo is a American athlete who is famous for his attacking skills as a forward	E	11000.0	['Playing position', 'Place of birth']
34	T719B	Cristiano Ronaldo is a British Millenial playing football.	E	10000.0	['Date of birth', 'Place of birth', 'Playing position']
35	T719B	Cristiano Ronaldo born in England has always lived there itself.	N	1000.0	['Place of birth']
36	T1600A	K?roly Zipernowsky didn't go to school to become an engineer.	N	100000.0	['Education', 'Occupation']
37	T1600A	K?roly Zipernowsky died where he was born.	E	100000.0	['Born', 'Died']
38	T1600A	K?roly Zipernowsky had changed his first name.	E	100.0	['Birth name']
39	T1600A	K?roly Zipernowsky studied acting at University.	N	100000.0	['Occupation', 'Education']
40	T1600A	K?roly Zipernowsky was born as K?roly Zipernowsky in 1865.	C	10000.0	['Birth name' 'Born']
41	T1600A	K?roly Zipernowsky was born in 19th century Vienna.	C	100000.0	['Born']
42	T1600A	K?roly Zipernowsky was over one hundred years old when he died.	E	100000.0	['Born', 'Died']
43	T1600A	K?roly Zipernowsky was the top of his class at the University of Manchester.	N	1.0	['Education']
44	T1600A	K?roly Zipernowsky's is a citizen of countries on two different continents.	E	100.0	['Nationality']
45	T1600B	K?roly Zipernowsky didn't go to school to become a singer.	E	100000.0	['Occupation', 'Education']
46	T1600B	K?roly Zipernowsky died where he was born.	C	100000.0	['Born', 'Died']
47	T1600B	K?roly Zipernowsky had changed his last name.	C	100.0	['Birth name']
48	T1600B	K?roly Zipernowsky studied electrical engineering at University in the France.	C	10000.0	['Education', 'Engineering']
49	T1600B	K?roly Zipernowsky was born as Carl Zipernowsky in 1853.	C	100000.0	['Born']
50	T1600B	K?roly Zipernowsky was born in 18th century Europe.	E	10000.0	['Born']
51	T1600B	K?roly Zipernowsky was over half a century old when he died.	E	110000.0	['Born', 'Died']
